/A	120.000000	0.499428	0.460932	0.475279	0.505980	0.543377	0.627830	0.718978	0.813796	0.910934
/A	125.000000	0.446971	0.405180	0.409660	0.429132	0.454742	0.514816	0.581027	0.650602	0.722304
/A	130.000000	0.397668	0.354475	0.351613	0.362380	0.378726	0.419469	0.465791	0.515170	0.566483
/A	135.000000	0.351072	0.308101	0.300062	0.304289	0.313537	0.339278	0.370042	0.403556	0.438812
/A	140.000000	0.306790	0.265428	0.254063	0.253600	0.257602	0.272044	0.290949	0.312301	0.335200
/A	145.000000	0.264472	0.225899	0.212779	0.209200	0.209526	0.215812	0.226004	0.238337	0.252023
/A	150.000000	0.223807	0.189014	0.175462	0.170086	0.168059	0.168833	0.172956	0.178913	0.186030
/A	155.000000	0.184510	0.154319	0.141429	0.135353	0.132067	0.129520	0.129763	0.131534	0.134273
/A	160.000000	0.146322	0.121398	0.110057	0.104168	0.100510	0.096415	0.094551	0.093911	0.094044
/A	165.000000	0.109001	0.089863	0.080765	0.075755	0.072419	0.068162	0.065579	0.063913	0.062828
/A	170.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
/A	175.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
/A	180.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
;										
;										
*** TABLE 2										
;										
;sheet thickness										
/S	2.000000									
;										
;bending radii										
/R		0.125000	0.500000	1.000000	1.500000	2.000000	3.000000	4.000000	5.000000	6.000000
;opening angle: ------------------------ correction value x ----------										
/A	0.000000	3.706693	2.332882	1.289229	0.441829	-0.325221	-1.743417	-3.081263	-4.375081	-5.641051
/A	5.000000	3.721785	2.406969	1.420084	0.624001	-0.093964	-1.417211	-2.662339	-3.864662	-5.039911
/A	10.000000	3.736877	2.481055	1.550938	0.806172	0.137292	-1.091005	-2.243415	-3.354243	-4.438771
/A	15.000000	3.751969	2.555142	1.681793	0.988343	0.368548	-0.764799	-1.824491	-2.843824	-3.837631
/A	20.000000	3.767060	2.629229	1.812648	1.170515	0.599804	-0.438593	-1.405567	-2.333406	-3.236490
/A	25.000000	3.782152	2.703315	1.943503	1.352686	0.831060	-0.112387	-0.986643	-1.822987	-2.635350
/A	30.000000	3.797244	2.777402	2.074357	1.534858	1.062316	0.213819	-0.567719	-1.312568	-2.034210
/A	35.000000	3.812336	2.851488	2.205212	1.717029	1.293572	0.540025	-0.148795	-0.802149	-1.433069
/A	40.000000	3.827428	2.925575	2.336067	1.899200	1.524828	0.866231	0.270129	-0.291730	-0.831929
/A	45.000000	3.842520	2.999662	2.466922	2.081372	1.756085	1.192437	0.689053	0.218689	-0.230789
/A	50.000000	3.857612	3.073748	2.597776	2.263543	1.987341	1.518644	1.107977	0.729108	0.370352
/A	55.000000	3.872703	3.147835	2.728631	2.445715	2.218597	1.844850	1.526901	1.239527	0.971492
/A	60.000000	3.887795	3.221921	2.859486	2.627886	2.449853	2.171056	1.945825	1.749946	1.572632
/A	65.000000	3.902887	3.296008	2.990341	2.810057	2.681109	2.497262	2.364749	2.260365	2.173773
/A	70.000000	3.917979	3.370095	3.121195	2.992229	2.912365	2.823468	2.783673	2.770784	2.774913
/A	75.000000	3.933071	3.444181	3.252050	3.174400	3.143621	3.149674	3.202597	3.281203	3.376053
/A	80.000000	3.948163	3.518268	3.382905	3.356572	3.374877	3.475880	3.621521	3.791622	3.977194
/A	85.000000	3.963255	3.592354	3.513760	3.538743	3.606134	3.802086	4.040445	4.302040	4.578334
/A	90.000000	3.978346	3.666441	3.644614	3.720915	3.837390	4.128292	4.459369	4.812459	5.179474
/A	95.000000	3.637846	3.322184	3.273456	3.317404	3.399295	3.617809	3.874267	4.151515	4.441913
/A	100.000000	3.324704	3.010112	2.940922	2.958955	3.012699	3.171700	3.366412	3.580692	3.807349
/A	105.000000	3.034762	2.725336	2.641141	2.638718	2.669774	2.780180	2.924064	3.086294	3.260127
/A	110.000000	2.764596	2.463825	2.369279	2.351053	2.364075	2.435191	2.537555	2.657041	2.787356
/A	115.000000	2.511354	2.222225	2.121310	2.091263	2.090232	2.130024	2.198832	2.283538	2.378300
/A	120.000000	2.272636	1.997712	1.893845	1.855395	1.843729	1.859030	1.901116	1.957877	2.023920
/A	125.000000	2.046399	1.787883	1.684000	1.640084	1.620719	1.617404	1.638641	1.673331	1.716529
/A	130.000000	1.830889	1.590672	1.489298	1.442439	1.417900	1.401016	1.406452	1.424118	1.449519
/A	135.000000	1.624581	1.404288	1.307589	1.259952	1.232403	1.206281	1.200247	1.205220	1.217154
/A	140.000000	1.426139	1.227158	1.136983	1.090420	1.061713	1.030054	1.016251	1.012232	1.014401
/A	145.000000	1.234377	1.057888	0.975809	0.931892	0.903597	0.869546	0.851118	0.841251	0.836798
/A	150.000000	1.048233	0.895226	0.822567	0.782616	0.756057	0.722256	0.701847	0.688775	0.680345
/A	155.000000	0.866743	0.738040	0.675894	0.641006	0.617277	0.585917	0.565716	0.551631	0.541413
/A	160.000000	0.689022	0.585288	0.534543	0.505603	0.485591	0.458446	0.440228	0.426902	0.416670
/A	165.000000	0.514248	0.436003	0.397351	0.375053	0.359452	0.337907	0.323058	0.311878	0.303019
/A	170.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
/A	175.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
/A	180.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
